Shubman Gill 8.00 India
Ravindra Jadeja 30.84 India
Virat Kohli 60.31 India
Ajinkya Rahane 35.26 India
MS Dhoni 50.57 India
Shikhar Dhawan 44.5 India
Manish Pandey 36.66 India
Kedar Jadhav 42.96 India
Dinesh Karthik 30.20 India
Bhuvneshwar Kumar 14.21 India
Siddarth Kaul 0.50 India
Ambati Rayudu 47.05 India
Suresh Raina 35.31 India
Rohit Sharma 48.52 India
Umesh Yadav 7.90 India
KL Rahul 39.11 India
Yuzvendra Chahal 7.80 India
Deepak Chahar 12.00 India
Shardul Thakur 22.00 India
Vijay Shankar 31.85 India
Mohammed Shami 7.55 India
Axar Patel 12.92 India
Kuldeep Yadav 12.62 India
Hardik Pandya 29.90 India
Jasprit Bumrah 3.80 India
Shreyas Iyer 49.42 India
Washington Sundar - India
Rishabh Pant 22.90 India
Mohammed Siraj - India
Khaleel Ahmed 4.50 India
Stuart Broad 12.30 England
Joe Denly 26.63 England
Liam Plunkett 20.83 England
Steven Finn 8.00 England
Liam Dawson 7.00 England
Dawid Malan 24.00 England
Adil Rashid 18.96 England
Eoin Morgan 39.71 England
Chris Woakes 24.70 England
Alex Hales 37.79 England
Chris Jordan 12.07 England
James Vince 24.09 England
Jonny Bairstow 47.68 England
Sam Billings 22.58 England
Jason Roy 42.79 England
Joe Root 51.36 England
David Willey 18.60 England
Jos Buttler 40.88 England
Ben Stokes 40.63 England
Mark Wood 8.00 England
Ben Foakes - England
Toby Roland-Jones - England
Jake Ball 9.50 England
Olly Stone - England
Craig Overton - England
Ben Duckett 41.00 England
Tom Curran 44.50 England
Sam Curran 8.50 England
Jofra Archer 3.25 England
Moeen Ali 25.59 England
Usman Khawaja 42.00 Australia
David Warner 45.77 Australia
Nathan Coulter-Nile 16.8 Australia
Kane Richardson 10.20 Australia
Nathan Lyon 19.25 Australia
Mitchell Marsh 35.70 Australia
Jason Behrendorff 9.50 Australia
Josh Hazlewood 18.50 Australia
D'Arcy Short 27.66 Australia
Mitchell Starc 12.42 Australia
Marcus Stoinis 33.87 Australia
Glenn Maxwell 32.32 Australia
Alex Carey 40.20 Australia
Chris Lynn 18.75 Australia
Peter Handscomb 33.26 Australia
Michael Neser 4.00 Australia
Adam Zampa 6.66 Australia
Andrew Tye 14.25 Australia
Pat Cummins 10.17 Australia
Ashton Turner 62.50 Australia
Ashton Agar 20.57 Australia
Travis Head 34.40 Australia
Billy Stanlake 1.33 Australia
Aaron Finch 40.34 Australia
Shaun Marsh 40.77 Australia
Tim Paine 27.81 Australia
Jhye Richardson 13.60 Australia
Peter Siddle 10.33 Australia
Cameron White 33.96 Australia
